source_record_key,claim_area,citation,doi_or_pmid,publication_year,study_type,population,applicability,limitations,evidence_grade,review_required
moves-starter-v1:strength:single-leg-calf-raise,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:split-squat,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:standard-push-up,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:step-up,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:suitcase-carry,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:wall-push-up,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:wall-sit,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:stretching:butterfly-adductor-stretch,"Stretching: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Acute effects of various stretching techniques on range of motion: a systematic review with multilevel meta-analysis. Sports Med Open. 2023;9.",DOI:10.1186/s40798-023-00652-x; PMID:37962709,2023,systematic review and meta-analysis,healthy participants,static and active stretching taxonomy and ROM exposure,acute ROM outcomes do not establish clinical efficacy,MODERATE,false
moves-starter-v1:stretching:child-pose-thoracolumbar-stretch,"Stretching: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Acute effects of various stretching techniques on range of motion: a systematic review with multilevel meta-analysis. Sports Med Open. 2023;9.",DOI:10.1186/s40798-023-00652-x; PMID:37962709,2023,systematic review and meta-analysis,healthy participants,static and active stretching taxonomy and ROM exposure,acute ROM outcomes do not establish clinical efficacy,MODERATE,false
moves-starter-v1:stretching:cross-body-posterior-shoulder-stretch,"Stretching: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Acute effects of various stretching techniques on range of motion: a systematic review with multilevel meta-analysis. Sports Med Open. 2023;9.",DOI:10.1186/s40798-023-00652-x; PMID:37962709,2023,systematic review and meta-analysis,healthy participants,static and active stretching taxonomy and ROM exposure,acute ROM outcomes do not establish clinical efficacy,MODERATE,false
moves-starter-v1:stretching:doorway-chest-stretch,"Stretching: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Acute effects of various stretching techniques on range of motion: a systematic review with multilevel meta-analysis. Sports Med Open. 2023;9.",DOI:10.1186/s40798-023-00652-x; PMID:37962709,2023,systematic review and meta-analysis,healthy participants,static and active stretching taxonomy and ROM exposure,acute ROM outcomes do not establish clinical efficacy,MODERATE,false
moves-starter-v1:stretching:half-kneeling-hip-flexor-stretch,"Stretching: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Acute effects of various stretching techniques on range of motion: a systematic review with multilevel meta-analysis. Sports Med Open. 2023;9.",DOI:10.1186/s40798-023-00652-x; PMID:37962709,2023,systematic review and meta-analysis,healthy participants,static and active stretching taxonomy and ROM exposure,acute ROM outcomes do not establish clinical efficacy,MODERATE,false
moves-starter-v1:stretching:kneeling-lat-stretch,"Stretching: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Acute effects of various stretching techniques on range of motion: a systematic review with multilevel meta-analysis. Sports Med Open. 2023;9.",DOI:10.1186/s40798-023-00652-x; PMID:37962709,2023,systematic review and meta-analysis,healthy participants,static and active stretching taxonomy and ROM exposure,acute ROM outcomes do not establish clinical efficacy,MODERATE,false
moves-starter-v1:stretching:levator-scapulae-stretch,"Stretching: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Acute effects of various stretching techniques on range of motion: a systematic review with multilevel meta-analysis. Sports Med Open. 2023;9.",DOI:10.1186/s40798-023-00652-x; PMID:37962709,2023,systematic review and meta-analysis,healthy participants,static and active stretching taxonomy and ROM exposure,acute ROM outcomes do not establish clinical efficacy,MODERATE,false
moves-starter-v1:stretching:overhead-triceps-stretch,"Stretching: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Acute effects of various stretching techniques on range of motion: a systematic review with multilevel meta-analysis. Sports Med Open. 2023;9.",DOI:10.1186/s40798-023-00652-x; PMID:37962709,2023,systematic review and meta-analysis,healthy participants,static and active stretching taxonomy and ROM exposure,acute ROM outcomes do not establish clinical efficacy,MODERATE,false
moves-starter-v1:stretching:seated-hamstring-stretch,"Stretching: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Acute effects of various stretching techniques on range of motion: a systematic review with multilevel meta-analysis. Sports Med Open. 2023;9.",DOI:10.1186/s40798-023-00652-x; PMID:37962709,2023,systematic review and meta-analysis,healthy participants,static and active stretching taxonomy and ROM exposure,acute ROM outcomes do not establish clinical efficacy,MODERATE,false
moves-starter-v1:stretching:side-lunge-adductor-stretch,"Stretching: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Acute effects of various stretching techniques on range of motion: a systematic review with multilevel meta-analysis. Sports Med Open. 2023;9.",DOI:10.1186/s40798-023-00652-x; PMID:37962709,2023,systematic review and meta-analysis,healthy participants,static and active stretching taxonomy and ROM exposure,acute ROM outcomes do not establish clinical efficacy,MODERATE,false
moves-starter-v1:stretching:standing-gastrocnemius-stretch,"Stretching: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Acute effects of various stretching techniques on range of motion: a systematic review with multilevel meta-analysis. Sports Med Open. 2023;9.",DOI:10.1186/s40798-023-00652-x; PMID:37962709,2023,systematic review and meta-analysis,healthy participants,static and active stretching taxonomy and ROM exposure,acute ROM outcomes do not establish clinical efficacy,MODERATE,false
moves-starter-v1:stretching:standing-quadriceps-stretch,"Stretching: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Acute effects of various stretching techniques on range of motion: a systematic review with multilevel meta-analysis. Sports Med Open. 2023;9.",DOI:10.1186/s40798-023-00652-x; PMID:37962709,2023,systematic review and meta-analysis,healthy participants,static and active stretching taxonomy and ROM exposure,acute ROM outcomes do not establish clinical efficacy,MODERATE,false
moves-starter-v1:stretching:standing-soleus-stretch,"Stretching: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Acute effects of various stretching techniques on range of motion: a systematic review with multilevel meta-analysis. Sports Med Open. 2023;9.",DOI:10.1186/s40798-023-00652-x; PMID:37962709,2023,systematic review and meta-analysis,healthy participants,static and active stretching taxonomy and ROM exposure,acute ROM outcomes do not establish clinical efficacy,MODERATE,false
moves-starter-v1:stretching:supine-figure-four-stretch,"Stretching: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Acute effects of various stretching techniques on range of motion: a systematic review with multilevel meta-analysis. Sports Med Open. 2023;9.",DOI:10.1186/s40798-023-00652-x; PMID:37962709,2023,systematic review and meta-analysis,healthy participants,static and active stretching taxonomy and ROM exposure,acute ROM outcomes do not establish clinical efficacy,MODERATE,false
moves-starter-v1:stretching:supine-hamstring-strap-stretch,"Stretching: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Acute effects of various stretching techniques on range of motion: a systematic review with multilevel meta-analysis. Sports Med Open. 2023;9.",DOI:10.1186/s40798-023-00652-x; PMID:37962709,2023,systematic review and meta-analysis,healthy participants,static and active stretching taxonomy and ROM exposure,acute ROM outcomes do not establish clinical efficacy,MODERATE,false
moves-starter-v1:stretching:upper-trapezius-stretch,"Stretching: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Acute effects of various stretching techniques on range of motion: a systematic review with multilevel meta-analysis. Sports Med Open. 2023;9.",DOI:10.1186/s40798-023-00652-x; PMID:37962709,2023,systematic review and meta-analysis,healthy participants,static and active stretching taxonomy and ROM exposure,acute ROM outcomes do not establish clinical efficacy,MODERATE,false
moves-starter-v1:stretching:wrist-extensor-stretch,"Stretching: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Acute effects of various stretching techniques on range of motion: a systematic review with multilevel meta-analysis. Sports Med Open. 2023;9.",DOI:10.1186/s40798-023-00652-x; PMID:37962709,2023,systematic review and meta-analysis,healthy participants,static and active stretching taxonomy and ROM exposure,acute ROM outcomes do not establish clinical efficacy,MODERATE,false
moves-starter-v1:stretching:wrist-flexor-stretch,"Stretching: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Acute effects of various stretching techniques on range of motion: a systematic review with multilevel meta-analysis. Sports Med Open. 2023;9.",DOI:10.1186/s40798-023-00652-x; PMID:37962709,2023,systematic review and meta-analysis,healthy participants,static and active stretching taxonomy and ROM exposure,acute ROM outcomes do not establish clinical efficacy,MODERATE,false
moves-starter-v1:therapeutic:band-ankle-dorsiflexion,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Martin RL, et al. Lateral Ankle Ligament Sprains: Clinical Practice Guidelines. J Orthop Sports Phys Ther. 2021;51(4):CPG1-CPG80.",DOI:10.2519/jospt.2021.0302; PMID:33789434,2021,clinical practice guideline,people with lateral ankle sprain or instability,"ankle strength, balance and motor-control exercise families",not a universal treatment recommendation,HIGH,true
moves-starter-v1:therapeutic:band-ankle-eversion,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Martin RL, et al. Lateral Ankle Ligament Sprains: Clinical Practice Guidelines. J Orthop Sports Phys Ther. 2021;51(4):CPG1-CPG80.",DOI:10.2519/jospt.2021.0302; PMID:33789434,2021,clinical practice guideline,people with lateral ankle sprain or instability,"ankle strength, balance and motor-control exercise families",not a universal treatment recommendation,HIGH,true
moves-starter-v1:therapeutic:band-ankle-inversion,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Martin RL, et al. Lateral Ankle Ligament Sprains: Clinical Practice Guidelines. J Orthop Sports Phys Ther. 2021;51(4):CPG1-CPG80.",DOI:10.2519/jospt.2021.0302; PMID:33789434,2021,clinical practice guideline,people with lateral ankle sprain or instability,"ankle strength, balance and motor-control exercise families",not a universal treatment recommendation,HIGH,true
moves-starter-v1:therapeutic:band-shoulder-external-rotation,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Desmeules F, et al. Rotator Cuff Tendinopathy Diagnosis, Nonsurgical Medical Care, and Rehabilitation: Clinical Practice Guideline. J Orthop Sports Phys Ther. 2025.",DOI:10.2519/jospt.2025.13182; PMID:40165544,2025,clinical practice guideline,adults with rotator cuff tendinopathy,rotator-cuff and scapular exercise families,does not make each catalog exercise appropriate for every shoulder condition,HIGH,true
moves-starter-v1:therapeutic:band-shoulder-internal-rotation,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Desmeules F, et al. Rotator Cuff Tendinopathy Diagnosis, Nonsurgical Medical Care, and Rehabilitation: Clinical Practice Guideline. J Orthop Sports Phys Ther. 2025.",DOI:10.2519/jospt.2025.13182; PMID:40165544,2025,clinical practice guideline,adults with rotator cuff tendinopathy,rotator-cuff and scapular exercise families,does not make each catalog exercise appropriate for every shoulder condition,HIGH,true
moves-starter-v1:therapeutic:band-terminal-knee-extension,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Willy RW, et al. Patellofemoral Pain: Clinical Practice Guidelines. J Orthop Sports Phys Ther. 2019;49(9):CPG1-CPG95.",DOI:10.2519/jospt.2019.0302; PMID:31475628,2019,clinical practice guideline,adolescents and adults with patellofemoral pain,general knee and hip exercise families used in rehabilitation,catalog entries are not diagnosis-specific prescriptions,HIGH,true
moves-starter-v1:therapeutic:bent-knee-calf-raise,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Chimenti RL, et al. Achilles Pain, Stiffness, and Muscle Power Deficits: Midportion Achilles Tendinopathy Revision 2024. J Orthop Sports Phys Ther. 2024.",DOI:10.2519/jospt.2024.0302; PMID:39611662,2024,clinical practice guideline,adults with midportion Achilles tendinopathy,calf loading families,exercise dose must be individualized; catalog does not encode diagnosis,HIGH,true
moves-starter-v1:therapeutic:bird-dog,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","George SZ, et al. Interventions for the Management of Acute and Chronic Low Back Pain: Revision 2021. J Orthop Sports Phys Ther. 2021;51(11):CPG1-CPG60.",DOI:10.2519/jospt.2021.0304; PMID:34719942,2021,clinical practice guideline,adults with acute or chronic low back pain,trunk control and general exercise families,not a diagnosis-specific or patient-specific prescription,HIGH,true
moves-starter-v1:therapeutic:bridge-march,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","George SZ, et al. Interventions for the Management of Acute and Chronic Low Back Pain: Revision 2021. J Orthop Sports Phys Ther. 2021;51(11):CPG1-CPG60.",DOI:10.2519/jospt.2021.0304; PMID:34719942,2021,clinical practice guideline,adults with acute or chronic low back pain,trunk control and general exercise families,not a diagnosis-specific or patient-specific prescription,HIGH,true
moves-starter-v1:therapeutic:calf-isometric-hold,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Chimenti RL, et al. Achilles Pain, Stiffness, and Muscle Power Deficits: Midportion Achilles Tendinopathy Revision 2024. J Orthop Sports Phys Ther. 2024.",DOI:10.2519/jospt.2024.0302; PMID:39611662,2024,clinical practice guideline,adults with midportion Achilles tendinopathy,calf loading families,exercise dose must be individualized; catalog does not encode diagnosis,HIGH,true
moves-starter-v1:therapeutic:chair-sit-to-stand,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Willy RW, et al. Patellofemoral Pain: Clinical Practice Guidelines. J Orthop Sports Phys Ther. 2019;49(9):CPG1-CPG95.",DOI:10.2519/jospt.2019.0302; PMID:31475628,2019,clinical practice guideline,adolescents and adults with patellofemoral pain,general knee and hip exercise families used in rehabilitation,catalog entries are not diagnosis-specific prescriptions,HIGH,true
moves-starter-v1:therapeutic:chin-tuck,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Blanpied PR, et al. Neck Pain: Revision 2017. J Orthop Sports Phys Ther. 2017;47(7):A1-A83.",DOI:10.2519/jospt.2017.0302; PMID:28666405,2017,clinical practice guideline,adults with neck pain,controlled cervical movement and deep-neck-flexor exercise families,catalog entries do not encode classification-based treatment,HIGH,true
moves-starter-v1:therapeutic:clamshell,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Willy RW, et al. Patellofemoral Pain: Clinical Practice Guidelines. J Orthop Sports Phys Ther. 2019;49(9):CPG1-CPG95.",DOI:10.2519/jospt.2019.0302; PMID:31475628,2019,clinical practice guideline,adolescents and adults with patellofemoral pain,general knee and hip exercise families used in rehabilitation,catalog entries are not diagnosis-specific prescriptions,HIGH,true
moves-starter-v1:therapeutic:dead-bug-heel-tap,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","George SZ, et al. Interventions for the Management of Acute and Chronic Low Back Pain: Revision 2021. J Orthop Sports Phys Ther. 2021;51(11):CPG1-CPG60.",DOI:10.2519/jospt.2021.0304; PMID:34719942,2021,clinical practice guideline,adults with acute or chronic low back pain,trunk control and general exercise families,not a diagnosis-specific or patient-specific prescription,HIGH,true
moves-starter-v1:therapeutic:heel-slide,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Willy RW, et al. Patellofemoral Pain: Clinical Practice Guidelines. J Orthop Sports Phys Ther. 2019;49(9):CPG1-CPG95.",DOI:10.2519/jospt.2019.0302; PMID:31475628,2019,clinical practice guideline,adolescents and adults with patellofemoral pain,general knee and hip exercise families used in rehabilitation,catalog entries are not diagnosis-specific prescriptions,HIGH,true
moves-starter-v1:therapeutic:low-step-down,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Willy RW, et al. Patellofemoral Pain: Clinical Practice Guidelines. J Orthop Sports Phys Ther. 2019;49(9):CPG1-CPG95.",DOI:10.2519/jospt.2019.0302; PMID:31475628,2019,clinical practice guideline,adolescents and adults with patellofemoral pain,general knee and hip exercise families used in rehabilitation,catalog entries are not diagnosis-specific prescriptions,HIGH,true
moves-starter-v1:therapeutic:posterior-pelvic-tilt,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","George SZ, et al. Interventions for the Management of Acute and Chronic Low Back Pain: Revision 2021. J Orthop Sports Phys Ther. 2021;51(11):CPG1-CPG60.",DOI:10.2519/jospt.2021.0304; PMID:34719942,2021,clinical practice guideline,adults with acute or chronic low back pain,trunk control and general exercise families,not a diagnosis-specific or patient-specific prescription,HIGH,true
moves-starter-v1:therapeutic:prone-y-raise,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Desmeules F, et al. Rotator Cuff Tendinopathy Diagnosis, Nonsurgical Medical Care, and Rehabilitation: Clinical Practice Guideline. J Orthop Sports Phys Ther. 2025.",DOI:10.2519/jospt.2025.13182; PMID:40165544,2025,clinical practice guideline,adults with rotator cuff tendinopathy,rotator-cuff and scapular exercise families,does not make each catalog exercise appropriate for every shoulder condition,HIGH,true
moves-starter-v1:therapeutic:quadriceps-set,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Willy RW, et al. Patellofemoral Pain: Clinical Practice Guidelines. J Orthop Sports Phys Ther. 2019;49(9):CPG1-CPG95.",DOI:10.2519/jospt.2019.0302; PMID:31475628,2019,clinical practice guideline,adolescents and adults with patellofemoral pain,general knee and hip exercise families used in rehabilitation,catalog entries are not diagnosis-specific prescriptions,HIGH,true
moves-starter-v1:therapeutic:scapular-setting,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Desmeules F, et al. Rotator Cuff Tendinopathy Diagnosis, Nonsurgical Medical Care, and Rehabilitation: Clinical Practice Guideline. J Orthop Sports Phys Ther. 2025.",DOI:10.2519/jospt.2025.13182; PMID:40165544,2025,clinical practice guideline,adults with rotator cuff tendinopathy,rotator-cuff and scapular exercise families,does not make each catalog exercise appropriate for every shoulder condition,HIGH,true
moves-starter-v1:therapeutic:seated-partial-knee-extension,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Willy RW, et al. Patellofemoral Pain: Clinical Practice Guidelines. J Orthop Sports Phys Ther. 2019;49(9):CPG1-CPG95.",DOI:10.2519/jospt.2019.0302; PMID:31475628,2019,clinical practice guideline,adolescents and adults with patellofemoral pain,general knee and hip exercise families used in rehabilitation,catalog entries are not diagnosis-specific prescriptions,HIGH,true
moves-starter-v1:therapeutic:short-foot,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Martin RL, et al. Lateral Ankle Ligament Sprains: Clinical Practice Guidelines. J Orthop Sports Phys Ther. 2021;51(4):CPG1-CPG80.",DOI:10.2519/jospt.2021.0302; PMID:33789434,2021,clinical practice guideline,people with lateral ankle sprain or instability,"ankle strength, balance and motor-control exercise families",not a universal treatment recommendation,HIGH,true
moves-starter-v1:therapeutic:shoulder-external-rotation-isometric-wall,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Desmeules F, et al. Rotator Cuff Tendinopathy Diagnosis, Nonsurgical Medical Care, and Rehabilitation: Clinical Practice Guideline. J Orthop Sports Phys Ther. 2025.",DOI:10.2519/jospt.2025.13182; PMID:40165544,2025,clinical practice guideline,adults with rotator cuff tendinopathy,rotator-cuff and scapular exercise families,does not make each catalog exercise appropriate for every shoulder condition,HIGH,true
moves-starter-v1:therapeutic:shoulder-flexion-isometric-wall,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Desmeules F, et al. Rotator Cuff Tendinopathy Diagnosis, Nonsurgical Medical Care, and Rehabilitation: Clinical Practice Guideline. J Orthop Sports Phys Ther. 2025.",DOI:10.2519/jospt.2025.13182; PMID:40165544,2025,clinical practice guideline,adults with rotator cuff tendinopathy,rotator-cuff and scapular exercise families,does not make each catalog exercise appropriate for every shoulder condition,HIGH,true
moves-starter-v1:therapeutic:side-lying-hip-abduction,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Willy RW, et al. Patellofemoral Pain: Clinical Practice Guidelines. J Orthop Sports Phys Ther. 2019;49(9):CPG1-CPG95.",DOI:10.2519/jospt.2019.0302; PMID:31475628,2019,clinical practice guideline,adolescents and adults with patellofemoral pain,general knee and hip exercise families used in rehabilitation,catalog entries are not diagnosis-specific prescriptions,HIGH,true
moves-starter-v1:therapeutic:small-range-lumbar-rotation,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","George SZ, et al. Interventions for the Management of Acute and Chronic Low Back Pain: Revision 2021. J Orthop Sports Phys Ther. 2021;51(11):CPG1-CPG60.",DOI:10.2519/jospt.2021.0304; PMID:34719942,2021,clinical practice guideline,adults with acute or chronic low back pain,trunk control and general exercise families,not a diagnosis-specific or patient-specific prescription,HIGH,true
moves-starter-v1:therapeutic:standing-band-hip-abduction,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Willy RW, et al. Patellofemoral Pain: Clinical Practice Guidelines. J Orthop Sports Phys Ther. 2019;49(9):CPG1-CPG95.",DOI:10.2519/jospt.2019.0302; PMID:31475628,2019,clinical practice guideline,adolescents and adults with patellofemoral pain,general knee and hip exercise families used in rehabilitation,catalog entries are not diagnosis-specific prescriptions,HIGH,true
moves-starter-v1:therapeutic:straight-leg-raise,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Willy RW, et al. Patellofemoral Pain: Clinical Practice Guidelines. J Orthop Sports Phys Ther. 2019;49(9):CPG1-CPG95.",DOI:10.2519/jospt.2019.0302; PMID:31475628,2019,clinical practice guideline,adolescents and adults with patellofemoral pain,general knee and hip exercise families used in rehabilitation,catalog entries are not diagnosis-specific prescriptions,HIGH,true
moves-starter-v1:therapeutic:supine-abdominal-bracing,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","George SZ, et al. Interventions for the Management of Acute and Chronic Low Back Pain: Revision 2021. J Orthop Sports Phys Ther. 2021;51(11):CPG1-CPG60.",DOI:10.2519/jospt.2021.0304; PMID:34719942,2021,clinical practice guideline,adults with acute or chronic low back pain,trunk control and general exercise families,not a diagnosis-specific or patient-specific prescription,HIGH,true
moves-starter-v1:therapeutic:supine-serratus-punch,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Desmeules F, et al. Rotator Cuff Tendinopathy Diagnosis, Nonsurgical Medical Care, and Rehabilitation: Clinical Practice Guideline. J Orthop Sports Phys Ther. 2025.",DOI:10.2519/jospt.2025.13182; PMID:40165544,2025,clinical practice guideline,adults with rotator cuff tendinopathy,rotator-cuff and scapular exercise families,does not make each catalog exercise appropriate for every shoulder condition,HIGH,true
moves-starter-v1:therapeutic:toe-yoga,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Martin RL, et al. Lateral Ankle Ligament Sprains: Clinical Practice Guidelines. J Orthop Sports Phys Ther. 2021;51(4):CPG1-CPG80.",DOI:10.2519/jospt.2021.0302; PMID:33789434,2021,clinical practice guideline,people with lateral ankle sprain or instability,"ankle strength, balance and motor-control exercise families",not a universal treatment recommendation,HIGH,true
moves-starter-v1:therapeutic:wall-push-up-plus,"Ćwiczenia terapeutyczne: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Desmeules F, et al. Rotator Cuff Tendinopathy Diagnosis, Nonsurgical Medical Care, and Rehabilitation: Clinical Practice Guideline. J Orthop Sports Phys Ther. 2025.",DOI:10.2519/jospt.2025.13182; PMID:40165544,2025,clinical practice guideline,adults with rotator cuff tendinopathy,rotator-cuff and scapular exercise families,does not make each catalog exercise appropriate for every shoulder condition,HIGH,true
